,id,label,text
0,0,ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,1,ham,ok lar joking wif u oni
2,2,spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetc ' apply 08452810075over18 '
3,3,ham,u dun say early hor u c already say
4,4,ham,nah ' think go usf life around though
5,5,spam,freemsg hey darling ' 3 week ' word back ' like fun still tb ok xxx std chgs send a150 rcv
6,6,ham,even brother like speak treat like aid patent
7,7,ham,per request ' melle melle oru minnaminunginte nurungu vettam ' ha set callertune caller press 9 copy friend callertune
8,8,spam,winner valued network customer selected receivea a900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
9,9,spam,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
10,10,ham,' gonna home soon ' want talk stuff anymore tonight k ' cried enough today
11,11,spam,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
12,12,spam,urgent 1 week free membership a100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,13,ham,' searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
14,14,ham,date sunday
15,15,spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,16,ham,oh ki ' watching
17,17,ham,eh u remember 2 spell name yes v naughty make v wet
18,18,ham,fine thataos way u feel thataos way gota b
19,19,spam,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txti14120 poboxox36504w45wq 16
20,20,ham,seriously spell name
21,21,ham,ium going try 2 month ha ha joking
22,22,ham,i_ pay first lar da stock comin
23,23,ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
24,24,ham,ffffffffff alright way meet sooner
25,25,ham,forced eat slice ' really hungry tho suck mark getting worried know ' sick turn pizza lol
26,26,ham,lol always convincing
27,27,ham,catch bus frying egg make tea eating mom ' left dinner feel love
28,28,ham,' back amp ' packing car ' let know ' room
29,29,ham,ahhh work vaguely remember doe feel like lol
30,30,ham,wait ' still clear sure sarcastic ' x ' want live u
31,31,ham,yeah got 2 wa v apologetic n fallen wa actin like spoilt child got caught till 2 ' go badly cheer
32,32,ham,k tell anything
33,33,ham,fear fainting housework quick cuppa
34,34,spam,thanks subscription ringtone uk mobile charged a5month please confirm replying yes reply charged
35,35,ham,yup ok go home look timing msg i_ xuhui going learn 2nd may lesson 8am
36,36,ham,oops ' let know roommate ' done
37,37,ham,see letter b car
38,38,ham,anything lor u decide
39,39,ham,hello ' saturday go wa texting see ' decided anything tomo ' trying invite anything
40,40,ham,pls go ahead watt wanted sure great weekend abiola
41,41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,42,spam,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
43,43,ham,seeing
44,44,ham,great hope like man well endowed ltgt inch
45,45,ham,callsmessagesmissed call
46,46,ham,' get hep b immunisation nigeria
47,47,ham,fair enough anything going
48,48,ham,yeah hopefully tyler ' could maybe ask around bit
49,49,ham,u ' know stubborn ' even want go hospital kept telling mark ' weak sucker hospital weak sucker
50,50,ham,thinked first time saw class
51,51,ham,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
52,52,ham,k fyi x ha ride early tomorrow morning ' crashing place tonight
53,53,ham,wow never realized embarassed accomodations thought liked since wa best could always seemed happy cave ' sorry ' ' give ' sorry offered ' sorry room wa embarassing
54,54,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,55,ham,know mallika sherawat yesterday find lturlgt
56,56,spam,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
57,57,ham,sorry ' call later meeting
58,58,ham,tell reached
59,59,ham,yesgauti sehwag odi series
60,60,ham,gonna pick 1 burger way home ' even move pain killing
61,61,ham,ha ha ha good joke girl situation seeker
62,62,ham,part checking iq
63,63,ham,sorry roommate took forever ok come
64,64,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,65,spam,valued customer pleased advise following recent review mob awarded a1500 bonus prize call 09066364589
